path,file,position
src\sass\components\,_drawer.scss,78 .k-drawer-item.k-selected:hover,
src\sass\components\,_drawer.scss,79 .k-drawer-item.k-selected.k-state-hover,
src\sass\components\,_drawer.scss,80 .k-drawer-item.k-selected.k-hover 
src\sass\components\,_drawer.scss,85 .k-drawer-separator 
src\sass\components\,_filter.scss,85 .k-drawer-separator 
src\sass\components\,_filter.scss,23 #FilterManager_ListView .k-listview-item 
src\sass\components\,_filter.scss,28 #FilterManager_ListView .k-listview-item:hover 
src\sass\components\,_filter.scss,33 #GridFilter > .k-grid-footer 
src\sass\components\,_grid-styles.scss,33 #GridFilter > .k-grid-footer 
src\sass\components\,_grid-styles.scss,5 .k-grid 
src\sass\components\,_grid-styles.scss,11 .k-grid th 
src\sass\components\,_grid-styles.scss,18 .k-grid tbody td 
src\sass\components\,_grid-styles.scss,22 .k-grid .k-command-cell 
src\sass\components\,_grid-styles.scss,30 .k-grid-header 
src\sass\components\,_grid-styles.scss,34 .k-grid-header .k-grid-header-sticky 
src\sass\components\,_grid-styles.scss,39 .k-grid-header .k-grid-header-sticky > button:first-child 
src\sass\components\,_grid-styles.scss,43 div.k-grid-content-locked > table > tbody > tr.k-master-row,
src\sass\components\,_grid-styles.scss,44 div.k-grid-content-locked > table > tbody > tr.k-master-row.k-state-selected > td 
src\sass\components\,_grid-styles.scss,48 .k-command-cell > .k-grid-activate,
src\sass\components\,_grid-styles.scss,49 .k-command-cell > .k-grid-editSecurity 
src\sass\components\,_grid-styles.scss,52 .k-hierarchy-cell > a:not 
src\sass\components\,_grid-styles.scss,56 .k-grid .k-detail-row .k-detail-cell:not 
src\sass\components\,_grid-styles.scss,61 .k-grid .k-detail-row .k-detail-cell th.k-header:first-child 
src\sass\components\,_grid-styles.scss,66 .k-grid .k-detail-row .k-hierarchy-cell 
src\sass\components\,_grid-styles.scss,70 .k-grid-footer .k-grid-footer-sticky 
src\sass\components\,_grid-styles.scss,89 #GridConfigGrid .k-grid-content 
src\sass\components\,_grid-styles.scss,93 #ConfigFlexItemsGrid .k-grid-content 
src\sass\components\,_grid-styles.scss,100 #TaskWorkTypeNotificationGrid > .k-grid-footer,
src\sass\components\,_grid-styles.scss,101 #TaskGrid > .k-grid-footer,
src\sass\components\,_grid-styles.scss,102 #TaskHistoryGrid > .k-grid-footer,
src\sass\components\,_grid-styles.scss,103 #AdminSupportTicketGrid > .k-grid-footer,
src\sass\components\,_grid-styles.scss,104 #ReportLogGrid > .k-grid-footer,
src\sass\components\,_grid-styles.scss,105 #UserGrid > .k-grid-footer
src\sass\components\,_grid-styles.scss,146 #PermitGrid > .k-grid-footer 
src\sass\components\,_grid-styles.scss,151 #SERUtilityPermitGrid > .k-grid-footer 
src\sass\components\,_grid-styles.scss,156 #ODOTPermitGrid > .k-grid-footer 
src\sass\components\,_grid-styles.scss,183 #ReportListGrid .k-grid-header 
src\sass\components\,_grid-styles.scss,188 #ReportListGrid > .k-auto-scrollable 
src\sass\components\,_grid-styles.scss,197 #ReportListGrid .k-grid-footer 
src\sass\components\,_grid-styles.scss,202 #ReportFilterCriteriaGrid > .k-auto-scrollable 
src\sass\components\,_grid-styles.scss,206 #ReportFilterCriteriaGrid > .k-pager-wrap 
src\sass\components\,_grid-styles.scss,211 #ReportFilterCriteriaGrid .k-grid-footer 
src\sass\components\,_gridconfig.scss,211 #ReportFilterCriteriaGrid .k-grid-footer 
src\sass\components\,_gridconfig.scss,16 #GridConfigManager_ListView .k-listview-item 
src\sass\components\,_gridconfig.scss,21 #GridConfigManager_ListView .k-listview-item:hover 
src\sass\components\,_icons.scss,21 #GridConfigManager_ListView .k-listview-item:hover 
src\sass\components\,_icons.scss,45 .k-icon-3rem 
src\sass\components\,_icons.scss,50 .k-sprite 
src\sass\components\,_icons.scss,56 .fa-solid.k-sprite,
src\sass\components\,_icons.scss,57 .fa-solid.k-sprite::before 
src\sass\components\,_icons.scss,61 .k-map .k-i-marker-pin-selected 
src\sass\components\,_icons.scss,67 .k-map .k-i-marker-pin-light 
src\sass\components\,_inputs.scss,67 .k-map .k-i-marker-pin-light 
src\sass\components\,_inputs.scss,78 .k-input 
src\sass\components\,_inputs.scss,82 .k-input-solid:focus, .k-input-solid.k-focus 
src\sass\components\,_inputs.scss,89 .k-input-solid:focus-within 
src\sass\components\,_inputs.scss,96 .k-picker-solid 
src\sass\components\,_inputs.scss,101 .k-picker-md .k-input-inner,
src\sass\components\,_inputs.scss,102 .k-picker .k-input-button 
src\sass\components\,_layout.scss,102 .k-picker .k-input-button 
src\sass\components\,_layout.scss,35 #EquipmentListBoxContainer > .k-listbox 
src\sass\components\,_layout.scss,40 #PolicyListBoxContainer > .k-listbox 
src\sass\components\,_layout.scss,107 .k-card-deck-scrollwrap 
src\sass\components\,_layout.scss,111 .k-card-deck 
src\sass\components\,_layout.scss,121 .k-card-image 
src\sass\components\,_layout.scss,158 .k-card-deck-scrollwrap 
src\sass\components\,_layout.scss,162 .k-card-deck 
src\sass\components\,_layout.scss,172 .k-card-image 
src\sass\components\,_layout.scss,220 .k-card-deck-scrollwrap 
src\sass\components\,_layout.scss,224 .k-card-deck 
src\sass\components\,_layout.scss,234 .k-card-image 
src\sass\components\,_layout.scss,275 .k-card-deck-scrollwrap 
src\sass\components\,_layout.scss,279 .k-card-deck 
src\sass\components\,_layout.scss,289 .k-card-image 
src\sass\components\,_scrollformeditor.scss,289 .k-card-image 
src\sass\components\,_scrollformeditor.scss,174 .k-edit-form-container > .k-edit-buttons 
src\sass\components\,_securityeditor.scss,174 .k-edit-form-container > .k-edit-buttons 
src\sass\components\,_securityeditor.scss,66 #SecurityEditorTreeView .k-treeview-leaf 
src\sass\components\,_securityeditor.scss,70 #SecurityEditorTreeView.k-widget.k-treeview 
src\sass\components\,_securityeditor.scss,75 .k-treeview > .k-group 
src\sass\components\,_securityeditor.scss,78 .k-treeview .k-in 
src\sass\components\,_securityeditor.scss,84 .k-treeview-top 
src\sass\components\,_securityeditor.scss,89 .k-treeview-mid 
src\sass\components\,_securityeditor.scss,94 .k-treeview-bot 
src\sass\components\,_securityeditor.scss,100 #SecurityEditorEditGAL_Btn .k-tooltip .k-callout 
src\sass\components\,_toolbar.scss,100 #SecurityEditorEditGAL_Btn .k-tooltip .k-callout 
src\sass\components\,_toolbar.scss,6 #TimecardRulesToolbar.k-toolbar 
src\sass\components\,_toolbar.scss,14 #TimecardRulesToolbar > div.k-separator 
src\sass\components\,_toolbar.scss,20 #ReportToolBar > .k-overflow-anchor > .k-i-arrow-60-down:before 
src\sass\components\,_toolbar.scss,25 .k-toolbar 
src\sass\components\,_toolbar.scss,31 .k-toolbar > .k-overflow-anchor 
src\sass\components\,_toolbar.scss,36 .k-toolbar .k-picker 
src\sass\components\,_user-account.scss,36 .k-toolbar .k-picker 
src\sass\components\,_user-account.scss,23 #UserAccountSettings_tb_active.k-tooltip 
src\sass\components\,_kendo-overrides.scss,23 #UserAccountSettings_tb_active.k-tooltip 
src\sass\components\,_kendo-overrides.scss,12 .k-i-loading 
src\sass\components\,_kendo-overrides.scss,17 .k-tabstrip-wrapper 
src\sass\components\,_kendo-overrides.scss,22 .k-window-content 
src\sass\components\,_kendo-overrides.scss,27 .k-form-legend 
src\sass\components\,_kendo-overrides.scss,32 .k-list > li 
src\sass\components\,_kendo-overrides.scss,39 li > .k-item-text 
src\sass\components\,_kendo-overrides.scss,44 .k-listview-content 
src\sass\components\,_kendo-overrides.scss,49 .k-edit-form-container 
src\sass\components\,_kendo-overrides.scss,55 .k-tilelayout 
src\sass\components\,_kendo-overrides.scss,59 .k-tilelayout-item-body 
src\sass\components\,_kendo-overrides.scss,63 .k-menu:not > .k-item 
